name,llf,aic,c_index,n_rows
M_a,-7449.571703846983,14919.143407693966,0.8551906101092258,27729
M_b,-7413.736892731435,14849.47378546287,0.8484990062897001,27729
M_c,-7402.361198850935,14828.72239770187,0.8473547323236884,27729
