Cell,Metric,Scope,Val ρ,Val 95% CI,Val sig,Val n,Val traces,Cal ρ,Cal 95% CI,Cal sig
A_draft_within,draft_entropy,within_trace,-0.1251,"[-0.1431, -0.1069]",*,"59,205",87,-0.1126,"[-0.1273, -0.0979]",*
B_draft_across_trace,draft_entropy,across_trace,-0.0334,"[-0.2456, +0.1983]",ns,"59,205",87,-0.0910,"[-0.2427, +0.0775]",ns
C_token_within,target_entropy,within_trace,-0.0126,"[-0.0225, -0.0026]",*,"59,205",87,-0.0071,"[-0.0143, +0.0001]",ns
D_token_across_trace,target_entropy,across_trace,+0.1004,"[-0.1160, +0.3103]",ns,"59,205",87,-0.1280,"[-0.2907, +0.0286]",ns
